user_id,first_name,last_name,email,mobile,role,enterprise_id,city,country,preferred_language,primary_domain_interest,current_level,career_goal,learning_style,profile_completion_pct,ai_personalization_score,created_at
USR000057,Myra,Khan,myra.khan57@kaasdemo.ai,+917228180081,HR Manager,ENT00462,Pune,UK,Hindi,Healthcare,Advanced,AI Engineer,Reading,90,95,2025-06-20
USR000058,Rahul,Desai,rahul.desai58@kaasdemo.ai,+917907166142,Trainer,ENT00223,New York,India,Bengali,Healthcare,Intermediate,Digital Marketer,Social,84,66,2025-07-14
USR000059,Arjun,Kulkarni,arjun.kulkarni59@kaasdemo.ai,+917049833464,Community Moderator,,Mumbai,India,Marathi,Cloud,Expert,Business Analyst,Reading,45,37,2026-03-01
USR000060,Sneha,Singh,sneha.singh60@kaasdemo.ai,+919596004971,HR Manager,,Kolkata,India,Bengali,HR,Expert,Team Leader,Hands-on,80,48,2024-11-19
USR000061,Sara,Reddy,sara.reddy61@kaasdemo.ai,+919154908810,Learner,ENT00375,Delhi,Malaysia,Arabic,Cybersecurity,Advanced,AI Engineer,Visual,96,67,2024-09-05
USR000062,Saanvi,Jain,saanvi.jain62@kaasdemo.ai,+919260905359,Recruiter,ENT00374,Kuala Lumpur,USA,Bengali,HR,Beginner,Data Analyst,Reading,95,100,2026-03-23
USR000063,Priya,Andre,priya.andre63@kaasdemo.ai,+919632982968,Learner,ENT00297,Pune,UK,Arabic,Digital Marketing,Beginner,Team Leader,Hands-on,100,80,2025-12-21
USR000064,Rohan,Desai,rohan.desai64@kaasdemo.ai,+918265374436,Learner,,Delhi,India,English,Sales,Advanced,Cybersecurity Analyst,Visual,95,94,2024-11-02
USR000065,Saanvi,Patil,saanvi.patil65@kaasdemo.ai,+917117244390,Learner,ENT00378,Delhi,Singapore,Hindi,Manufacturing,Intermediate,Data Analyst,Audio,67,36,2026-02-02
USR000066,Krishna,Joshi,krishna.joshi66@kaasdemo.ai,+917749960739,HR Manager,ENT00058,London,India,Bengali,Manufacturing,Advanced,Cloud Architect,Audio,65,82,2024-11-14
USR000067,Sneha,Mishra,sneha.mishra67@kaasdemo.ai,+919557842371,HR Manager,ENT00044,Bengaluru,Singapore,Gujarati,Cloud,Expert,Digital Marketer,Mixed,91,41,2024-12-14
USR000068,Saanvi,Pillai,saanvi.pillai68@kaasdemo.ai,+917225585432,Learner,ENT00420,Bengaluru,Singapore,Gujarati,Data Science,Expert,Cybersecurity Analyst,Hands-on,64,68,2026-04-12
USR000069,Neha,Kapoor,neha.kapoor69@kaasdemo.ai,+917050951360,Learner,ENT00446,Delhi,Singapore,Gujarati,Leadership,Advanced,AI Engineer,Visual,80,75,2026-01-28
USR000070,Anjali,Joshi,anjali.joshi70@kaasdemo.ai,+919810382991,Learner,ENT00051,London,Malaysia,Bengali,Digital Marketing,Intermediate,Digital Marketer,Social,78,43,2025-03-29
USR000071,Riya,Sharma,riya.sharma71@kaasdemo.ai,+918766300020,Learner,,Mumbai,India,Bengali,AI,Advanced,Digital Marketer,Mixed,71,52,2024-11-26
USR000072,Vivaan,Sharma,vivaan.sharma72@kaasdemo.ai,+917931255046,Learner,ENT00305,London,India,Hindi,Governance,Beginner,Cloud Architect,Hands-on,58,34,2026-04-25
USR000073,Sai,Joshi,sai.joshi73@kaasdemo.ai,+919743541394,Learner,,Ahmedabad,USA,Gujarati,Data Science,Advanced,Cybersecurity Analyst,Reading,44,55,2024-07-15
USR000074,Myra,Kapoor,myra.kapoor74@kaasdemo.ai,+918136726892,Learner,ENT00490,Bengaluru,Singapore,Hindi,Quality Management,Expert,Digital Marketer,Social,85,42,2026-03-04
USR000075,Aadhya,Iyer,aadhya.iyer75@kaasdemo.ai,+919636965147,Learner,,New York,India,Bengali,Cybersecurity,Advanced,Data Analyst,Visual,44,29,2025-12-19
USR000076,Rohan,Joshi,rohan.joshi76@kaasdemo.ai,+919804035234,Corporate Admin,ENT00255,New York,India,English,Cloud,Expert,Cybersecurity Analyst,Reading,77,70,2025-12-22
USR000077,Aarav,Mishra,aarav.mishra77@kaasdemo.ai,+918872853413,Trainer,,Kolkata,India,Arabic,Finance,Intermediate,AI Engineer,Hands-on,96,35,2025-12-14
USR000078,Riya,Pillai,riya.pillai78@kaasdemo.ai,+919779163450,Learner,ENT00029,Mumbai,UK,Arabic,Governance,Advanced,Data Analyst,Hands-on,72,45,2024-11-09
USR000079,Riya,Patil,riya.patil79@kaasdemo.ai,+919988791630,Recruiter,,Kolkata,India,Kannada,Digital Marketing,Expert,Data Analyst,Mixed,91,44,2024-10-03
USR000080,Vivaan,Mehta,vivaan.mehta80@kaasdemo.ai,+919101237808,Learner,,Kolkata,India,Arabic,Cybersecurity,Advanced,Team Leader,Social,92,22,2024-06-19
USR000081,Anaya,Patil,anaya.patil81@kaasdemo.ai,+917507609787,Learner,,Hyderabad,Singapore,Arabic,Leadership,Intermediate,Digital Marketer,Visual,39,38,2025-09-25
USR000082,Rahul,Sharma,rahul.sharma82@kaasdemo.ai,+918042313610,Learner,,Singapore,India,English,AI,Intermediate,AI Engineer,Audio,47,78,2026-01-28
USR000083,Sai,Chavan,sai.chavan83@kaasdemo.ai,+919135215050,Learner,,London,UAE,Hindi,Data Science,Intermediate,Business Analyst,Audio,86,61,2024-09-13
USR000084,Priya,Chavan,priya.chavan84@kaasdemo.ai,+917915823748,Learner,ENT00494,Kuala Lumpur,India,French,Sales,Intermediate,Product Manager,Visual,50,55,2024-10-04
USR000085,Amit,Singh,amit.singh85@kaasdemo.ai,+918046445603,Learner,ENT00085,London,India,Marathi,Finance,Beginner,Business Analyst,Reading,37,82,2024-08-03
USR000086,Aarav,Sharma,aarav.sharma86@kaasdemo.ai,+918218617714,Learner,ENT00334,Kolkata,Singapore,Marathi,Manufacturing,Intermediate,Cloud Architect,Mixed,69,86,2025-08-17
USR000087,Sara,Rao,sara.rao87@kaasdemo.ai,+917773096126,Evaluator,ENT00020,Singapore,Singapore,French,Manufacturing,Beginner,Cybersecurity Analyst,Audio,88,20,2025-12-05
USR000088,Ayaan,Mehta,ayaan.mehta88@kaasdemo.ai,+918554354263,Learner,ENT00049,Kuala Lumpur,UAE,Bengali,Manufacturing,Intermediate,Cybersecurity Analyst,Visual,59,34,2024-10-12
USR000089,Priya,Jain,priya.jain89@kaasdemo.ai,+917232046822,Learner,ENT00473,New York,UK,Telugu,AI,Intermediate,Business Analyst,Audio,77,98,2025-08-20
USR000090,Vivaan,Iyer,vivaan.iyer90@kaasdemo.ai,+917678800733,Trainer,,Kuala Lumpur,India,Bengali,Cloud,Beginner,Data Analyst,Reading,91,95,2025-12-27
USR000091,Anaya,Singh,anaya.singh91@kaasdemo.ai,+917988114061,Learner,,Kuala Lumpur,India,Kannada,Full Stack,Intermediate,Data Analyst,Reading,87,45,2025-06-01
USR000092,Nikhil,Rao,nikhil.rao92@kaasdemo.ai,+918872026192,Learner,ENT00028,Bengaluru,UAE,French,Project Management,Expert,Cloud Architect,Hands-on,82,37,2025-08-24
USR000093,Rohan,Mehta,rohan.mehta93@kaasdemo.ai,+918442642321,Learner,,Bengaluru,India,French,Cybersecurity,Beginner,Cybersecurity Analyst,Reading,49,79,2025-08-25
USR000094,Sara,Gupta,sara.gupta94@kaasdemo.ai,+917673399852,Trainer,ENT00152,Kuala Lumpur,India,French,Manufacturing,Intermediate,Data Analyst,Hands-on,97,47,2026-01-08
USR000095,Aadhya,Nair,aadhya.nair95@kaasdemo.ai,+918059371626,Learner,,Hyderabad,UK,Gujarati,HR,Intermediate,Cloud Architect,Social,35,73,2024-06-27
USR000096,Vivaan,Jain,vivaan.jain96@kaasdemo.ai,+918693592188,Trainer,ENT00218,Ahmedabad,India,Bengali,Healthcare,Expert,Digital Marketer,Visual,36,72,2024-12-22
USR000097,Arjun,Pillai,arjun.pillai97@kaasdemo.ai,+919060652074,Learner,ENT00047,New York,USA,Marathi,AI,Expert,AI Engineer,Hands-on,94,37,2026-05-03
USR000098,Myra,Gupta,myra.gupta98@kaasdemo.ai,+919720442203,Corporate Admin,ENT00238,Pune,India,Gujarati,HR,Advanced,AI Engineer,Audio,89,54,2026-04-27
USR000099,Meera,Verma,meera.verma99@kaasdemo.ai,+919664834821,Learner,ENT00351,Chennai,India,Arabic,Data Science,Advanced,AI Engineer,Visual,84,66,2025-09-01
USR000100,Meera,Patil,meera.patil100@kaasdemo.ai,+917287788210,Learner,ENT00287,Dubai,UAE,Marathi,HR,Advanced,Digital Marketer,Social,49,81,2025-12-28
USR000101,Pooja,Mehta,pooja.mehta101@kaasdemo.ai,+918514885083,Trainer,,Delhi,Malaysia,Telugu,Full Stack,Beginner,Data Analyst,Audio,79,77,2025-09-22
USR000102,Kiara,Mishra,kiara.mishra102@kaasdemo.ai,+919288596778,HR Manager,ENT00273,Delhi,Singapore,French,Governance,Advanced,Data Analyst,Reading,93,31,2024-08-03
USR000103,Myra,Gupta,myra.gupta103@kaasdemo.ai,+917707665514,Learner,,Delhi,India,Marathi,Data Science,Expert,Cloud Architect,Reading,37,57,2025-07-13
USR000104,Priya,Verma,priya.verma104@kaasdemo.ai,+919768898601,Evaluator,ENT00216,Pune,USA,Tamil,Finance,Beginner,AI Engineer,Reading,77,72,2025-12-26
USR000105,Anaya,Desai,anaya.desai105@kaasdemo.ai,+919355655182,Learner,,Ahmedabad,Singapore,Telugu,Healthcare,Intermediate,Cybersecurity Analyst,Reading,68,49,2025-09-20
USR000106,Diya,Kulkarni,diya.kulkarni106@kaasdemo.ai,+918958189548,Trainer,ENT00181,Bengaluru,India,Arabic,Digital Marketing,Advanced,Cloud Architect,Reading,54,40,2025-01-11
USR000107,Vihaan,Patil,vihaan.patil107@kaasdemo.ai,+918587729771,Community Moderator,ENT00226,Bengaluru,UAE,Arabic,Digital Marketing,Beginner,Product Manager,Audio,53,67,2025-08-15
USR000108,Riya,Gupta,riya.gupta108@kaasdemo.ai,+919144979311,Learner,ENT00013,Kuala Lumpur,India,Bengali,Leadership,Advanced,Cloud Architect,Visual,99,62,2026-03-06
USR000109,Neha,Kulkarni,neha.kulkarni109@kaasdemo.ai,+919464141209,Learner,ENT00484,New York,India,French,Sales,Expert,Product Manager,Mixed,49,81,2024-06-23
USR000110,Arjun,Verma,arjun.verma110@kaasdemo.ai,+917946459593,Learner,ENT00317,Ahmedabad,UK,Hindi,Quality Management,Advanced,AI Engineer,Social,59,94,2025-11-03
USR000111,Ayaan,Joshi,ayaan.joshi111@kaasdemo.ai,+919907965116,Learner,ENT00435,New York,India,Arabic,Finance,Expert,Digital Marketer,Hands-on,75,97,2026-01-22
USR000112,Kiara,Patil,kiara.patil112@kaasdemo.ai,+918836701887,Mentor,ENT00076,Chennai,Malaysia,Kannada,HR,Beginner,Cybersecurity Analyst,Audio,79,59,2025-08-12
USR000113,Pooja,Verma,pooja.verma113@kaasdemo.ai,+918785030376,Learner,,Kuala Lumpur,Singapore,Telugu,Finance,Intermediate,Business Analyst,Mixed,88,37,2026-01-04
USR000114,Meera,Andre,meera.andre114@kaasdemo.ai,+918440603960,Learner,ENT00445,Mumbai,Malaysia,Hindi,Healthcare,Beginner,Business Analyst,Mixed,69,73,2024-11-08
USR000115,Riya,Nair,riya.nair115@kaasdemo.ai,+917855804722,Trainer,,Bengaluru,Malaysia,Telugu,Cloud,Expert,AI Engineer,Audio,73,83,2025-12-06
USR000116,Rohan,Nair,rohan.nair116@kaasdemo.ai,+918128189228,Learner,,Delhi,Singapore,Hindi,Cloud,Advanced,Business Analyst,Reading,97,51,2024-06-11
USR000117,Vihaan,Joshi,vihaan.joshi117@kaasdemo.ai,+918553745264,Learner,,London,Singapore,French,Manufacturing,Expert,Cybersecurity Analyst,Mixed,95,35,2025-05-30
USR000118,Kiara,Chavan,kiara.chavan118@kaasdemo.ai,+917627654163,Learner,ENT00298,Chennai,Singapore,Marathi,AI,Advanced,Cloud Architect,Visual,69,66,2025-07-16
USR000119,Rahul,Pillai,rahul.pillai119@kaasdemo.ai,+917329968072,Learner,ENT00328,Dubai,UAE,Marathi,Project Management,Beginner,Cloud Architect,Social,76,60,2026-04-14
USR000120,Sneha,Kulkarni,sneha.kulkarni120@kaasdemo.ai,+917411601358,Learner,,Dubai,UK,Marathi,Full Stack,Beginner,Cloud Architect,Social,71,67,2025-09-21
USR000121,Sara,Desai,sara.desai121@kaasdemo.ai,+919162013062,Evaluator,ENT00112,Hyderabad,UAE,Arabic,Cloud,Beginner,Business Analyst,Hands-on,44,34,2024-09-24
USR000122,Anjali,Sharma,anjali.sharma122@kaasdemo.ai,+918898108832,Learner,ENT00186,London,UK,Marathi,Cloud,Advanced,AI Engineer,Mixed,50,48,2024-09-21
USR000123,Pooja,Khan,pooja.khan123@kaasdemo.ai,+917337605742,Learner,ENT00108,Kolkata,India,Hindi,Cloud,Beginner,Team Leader,Hands-on,40,45,2024-08-31
USR000124,Vivaan,Mishra,vivaan.mishra124@kaasdemo.ai,+917185892639,Learner,ENT00466,Mumbai,USA,English,Digital Marketing,Beginner,Data Analyst,Social,61,95,2024-12-03
USR000125,Sai,Pillai,sai.pillai125@kaasdemo.ai,+919490013094,Learner,ENT00383,Chennai,UK,Marathi,Digital Marketing,Intermediate,Data Analyst,Visual,36,87,2024-12-21
USR000126,Neha,Mehta,neha.mehta126@kaasdemo.ai,+917018592584,Recruiter,ENT00387,Singapore,India,Tamil,Healthcare,Expert,Product Manager,Mixed,58,76,2026-04-02
USR000127,Vihaan,Gupta,vihaan.gupta127@kaasdemo.ai,+917920299834,HR Manager,,Dubai,UAE,Gujarati,Leadership,Beginner,Product Manager,Visual,94,34,2025-10-27
USR000128,Arjun,Jain,arjun.jain128@kaasdemo.ai,+917174412453,Trainer,,Mumbai,UK,Bengali,Healthcare,Beginner,Business Analyst,Audio,93,96,2025-03-28
USR000129,Priya,Nair,priya.nair129@kaasdemo.ai,+917810825323,Learner,ENT00438,Mumbai,Singapore,Kannada,Leadership,Intermediate,AI Engineer,Mixed,97,33,2025-06-22
USR000130,Ira,Mishra,ira.mishra130@kaasdemo.ai,+918720668210,Learner,ENT00074,Singapore,India,Marathi,Leadership,Beginner,Product Manager,Reading,78,45,2026-01-12
USR000131,Pooja,Kapoor,pooja.kapoor131@kaasdemo.ai,+919143661603,Learner,,Delhi,USA,Gujarati,HR,Advanced,Team Leader,Mixed,86,82,2025-10-18
USR000132,Krishna,Khan,krishna.khan132@kaasdemo.ai,+919135774649,Trainer,ENT00129,Hyderabad,India,English,Finance,Beginner,AI Engineer,Visual,98,23,2024-11-12
USR000133,Myra,Reddy,myra.reddy133@kaasdemo.ai,+917413749776,Learner,ENT00319,Kuala Lumpur,India,Arabic,Manufacturing,Expert,Team Leader,Reading,72,83,2025-09-27
USR000134,Kiara,Joshi,kiara.joshi134@kaasdemo.ai,+919347715190,Learner,,Pune,India,Gujarati,Healthcare,Beginner,Business Analyst,Hands-on,75,68,2025-08-09
USR000135,Ira,Patil,ira.patil135@kaasdemo.ai,+918301566516,Learner,ENT00441,Singapore,India,Bengali,Sales,Expert,Cloud Architect,Audio,84,82,2024-09-02
USR000136,Saanvi,Jain,saanvi.jain136@kaasdemo.ai,+919017854580,Learner,,Ahmedabad,India,Arabic,Manufacturing,Beginner,Business Analyst,Audio,98,95,2025-06-03
USR000137,Meera,Pillai,meera.pillai137@kaasdemo.ai,+919536021086,Trainer,ENT00032,Pune,India,Kannada,AI,Advanced,AI Engineer,Mixed,78,68,2024-08-20
USR000138,Sara,Pillai,sara.pillai138@kaasdemo.ai,+918048955076,Community Moderator,ENT00029,Hyderabad,UAE,Telugu,Governance,Beginner,Data Analyst,Audio,49,63,2024-11-02
USR000139,Aarav,Verma,aarav.verma139@kaasdemo.ai,+919439753607,Learner,ENT00443,Dubai,Malaysia,Telugu,Leadership,Beginner,Team Leader,Social,37,60,2025-06-03
USR000140,Saanvi,Kapoor,saanvi.kapoor140@kaasdemo.ai,+919967238139,Learner,ENT00251,New York,UAE,Kannada,Data Science,Expert,Product Manager,Reading,73,66,2025-08-02
USR000141,Reyansh,Jain,reyansh.jain141@kaasdemo.ai,+919301389619,Learner,,Hyderabad,USA,Telugu,Data Science,Beginner,Cybersecurity Analyst,Social,86,48,2026-02-11
USR000142,Rohan,Andre,rohan.andre142@kaasdemo.ai,+918174093450,Trainer,ENT00304,Mumbai,Singapore,Gujarati,Full Stack,Intermediate,Product Manager,Visual,73,84,2025-03-16
USR000143,Sara,Verma,sara.verma143@kaasdemo.ai,+919213493993,Learner,ENT00129,Ahmedabad,India,English,Manufacturing,Intermediate,Team Leader,Reading,94,54,2026-02-25
USR000144,Riya,Reddy,riya.reddy144@kaasdemo.ai,+919431451603,HR Manager,,Singapore,India,Arabic,Project Management,Intermediate,Product Manager,Hands-on,53,50,2024-10-14
USR000145,Rohan,Kulkarni,rohan.kulkarni145@kaasdemo.ai,+917276714124,HR Manager,ENT00441,New York,UAE,Gujarati,Quality Management,Advanced,Cybersecurity Analyst,Mixed,55,52,2026-04-16
USR000146,Meera,Rao,meera.rao146@kaasdemo.ai,+918054786446,Learner,ENT00099,Kuala Lumpur,USA,Bengali,AI,Expert,Business Analyst,Hands-on,39,45,2024-10-23
